id,城市,国家
737,济州岛,韩国
228,东京,日本
723,巴厘岛,印度尼西亚
274,首尔,韩国
207,冲绳,日本
58,香港,中国
359,曼谷,泰国
617,台北,中国
219,大阪,日本
641,札幌,日本
347,洛杉矶,美国
633,纽约,美国
338,伦敦,英国
192,巴黎,法国
725,普吉岛,泰国
734,京都,日本
315,吉隆坡,马来西亚
313,旧金山,美国
623,清迈,泰国
73,新加坡,新加坡
358,墨尔本,澳大利亚
6954,花莲,中国
410,仁川,韩国
420,斯德哥尔摩,瑞典
423,神户,日本
434,苏黎世,瑞士
332,开罗,埃及
306,基辅,乌克兰
303,金边,柬埔寨
304,加德满都,尼泊尔
301,胡志明市,越南
293,华沙,波兰
233,底特律,美国
205,长崎,日本
220,迪拜,阿联酋
23771,萨尔堡,法国
23309,梅兹,法国
23038,格拉斯,法国
97,阿里,中国
23849,塞纳河畔伊夫里,法国
23084,赫恩,法国
23107,吉维尼,法国
22297,阿卡雄,法国
35981,拜县,泰国
35788,春川（江原道）,韩国
35791,龙仁,韩国
35793,束草（江原道）,韩国
35773,小樽,日本
35778,宇都宫,日本
35779,宇治,日本
35440,库兰达,澳大利亚
35863,巴生,马来西亚
35900,加影,马来西亚
35916,龙达,马来西亚
36029,春武里,泰国
36428,巴利亚多利德,墨西哥
36493,箭镇,新西兰
37152,利恩茨,奥地利
37178,迈尔霍芬,奥地利
37180,毛拉赫,奥地利
37183,梅尔克,奥地利
37199,穆劳,奥地利
37229,珀希拉恩,奥地利
37231,普赫拜哈莱恩,奥地利
37260,圣安东阿尔贝格,奥地利
37263,圣吉尔根,奥地利
37266,圣卡瑟林阿哈,奥地利
37291,施泰尔,奥地利
37301,施瓦茨,奥地利
37339,瓦格纳,奥地利
37384,西提索,奥地利
36867,阿尔卑巴赫,奥地利
36877,阿坎,奥地利
36880,阿尼夫,奥地利
36881,阿特湖,奥地利
36886,埃本瑙,奥地利
36887,埃本因蓬高,奥地利
36889,埃尔毛,奥地利
36896,艾琴堡,奥地利
36897,艾森斯塔特,奥地利
36902,安斯菲尔登,奥地利
36919,奥伊姆布雷根茨沃尔德,奥地利
36921,巴德哥依斯恩,奥地利
36922,巴德加斯坦,奥地利
36942,贝旺,奥地利
36997,恩特湖,奥地利
37006,菲施蒙德多夫,奥地利
37009,费尔兹姆斯,奥地利
37011,芬斯特诺,奥地利
37014,弗拉绍,奥地利
37022,富尔普梅斯,奥地利
37037,格伦德尔湖,奥地利
37041,格洛迪,奥地利
37042,格蒙登,奥地利
37047,格绍,奥地利
37056,哈尔旺,奥地利
37067,黑马戈尔,奥地利
37077,霍恩埃姆斯,奥地利
37108,克洛斯特新堡,奥地利
37110,库夫施泰因,奥地利
37121,拉姆绍达赫斯坦,奥地利
37127,莱尔莫斯,奥地利
66622,雷恩,美国
65569,科尔马,法国
22261,阿尔伯尼,法国
22367,阿维尼翁新城,法国
22695,滨海自由城,法国
22968,枫丹白露,法国
22909,敦刻尔克,法国
22877,迪南,法国
44932,索伦托,澳大利亚
44602,阿瑟顿,澳大利亚
36497,科罗曼德,新西兰
44387,安娜保罗娜,荷兰
44455,海洛,荷兰
21561,蓝山,中国
21652,大田,中国
21689,平昌,中国
42587,乌姆盖万,阿联酋
34802,马尔堡,英国
35415,加的夫,澳大利亚
35159,泰晤士河畔里士满,英国
39011,迪基希,卢森堡
35765,网走,日本
35752,轻井泽,日本
35742,昆布,日本
35724,登别,日本
35634,圣安德鲁斯,加拿大
35684,哈根,德国
42489,埃格尔,匈牙利
42393,圣爱奥尼斯米科诺斯,希腊
42394,圣安娜纳克索斯,希腊
42473,伊古迈尼察,希腊
42480,伊亚,希腊
42482,依克希亚,希腊
42410,斯科派洛斯,希腊
42433,特力安塔,希腊
42437,图罗斯,希腊
42313,纳乌萨,希腊
42360,皮戈斯,希腊
42305,莫奈姆瓦夏,希腊
42274,马塔拉,希腊
42275,玛利亚,希腊
42280,梅加洛克豪略翁,希腊
42234,拉里萨,希腊
42235,拉米亚,希腊
42208,科林斯,希腊
42172,卡马利,希腊
42196,凯勒里瓦迪,希腊
42011,阿基阿婆斯托里,希腊
42053,埃雷特里亚,希腊
42075,奥诺斯,希腊
42129,哈尼亚,希腊
41720,圣地亚哥德孔波斯特拉,西班牙
30938,罗伊特林根,德国
30915,罗德马克,德国
30922,罗拉赫,德国
30924,罗森海姆,德国
30930,罗斯豪普滕,德国
30931,罗斯拉特,德国
30933,罗特威尔,德国
30936,罗滕伯格,德国
30905,吕塞尔斯海姆,德国
30897,路德维希堡,德国
30888,鲁波尔丁,德国
30890,鲁尔河畔米尔海姆,德国
30837,雷滕贝格,德国
30872,林道,德国
30878,林根,德国
30780,兰茨胡特,德国
30783,兰河畔马尔堡,德国
30797,朗根费尔德,德国
30766,莱茵河畔的宾根,德国
30769,莱茵河畔凯尔,德国
30772,莱茵河畔威尔,德国
30773,莱茵明斯特,德国
30741,拉廷根,德国
30745,莱恩费尔登埃希特登,德国
30746,莱尔贝格,德国
30752,莱普海姆,德国
30736,拉施塔特,德国
30738,拉斯特,德国
30734,拉姆绍,德国
30713,奎德林堡,德国
30719,拉岑,德国
30726,拉登堡,德国
30705,库克斯港,德国
30643,科堡,德国
30650,科赫姆,德国
30662,科特布斯,德国
30668,克拉科夫西,德国
30671,克莱沃,德国
30674,克劳斯塔尔-采勒费尔德,德国
30638,考夫博伊伦,德国
30606,卡尔斯特,德国
30557,基姆湖畔普林,德国
30537,霍根海姆,德国
30511,胡尔特,德国
30506,亨尼希斯多夫,德国
30440,海利根堡,德国
30464,豪萨赫,德国
30408,哈格瑙,德国
30392,古默斯巴赫,德国
30390,贡岑豪森,德国
30332,格尔利茨,德国
30347,格赖夫斯瓦尔德,德国
30348,格赖瑙,德国
30328,哥达,德国
30303,富尔达,德国
30288,弗伦斯堡,德国
30261,费尔德伯格,德国
30249,菲尔特,德国
30240,法伦达尔,德国
30243,菲尔德施塔特,德国
30181,迪克波恩,德国
30190,蒂蒂湖-新城,德国
6740,卡尔斯鲁厄,德国
6749,尼姆,法国
6655,阿马尔菲,哥伦比亚
6721,埃克塞特,英国
6565,扎金索斯,希腊
6604,阿伯丁,美国
53547,科布伦茨,瑞士
6890,赫拉克利翁,希腊
6908,晋州,韩国
6920,汉密尔顿,新西兰
6903,华欣,泰国
6804,格拉夫顿,澳大利亚
6828,布雷达,荷兰
6848,格罗宁根,荷兰
6962,纽黑文,美国
7373,利斯莫尔,澳大利亚
7299,罗兹,波兰
7326,考爱岛,美国
7256,卡瓦拉,希腊
7109,锡拉,希腊
7159,科斯,希腊
7087,米克诺斯,希腊
7104,斯基亚索斯,希腊
7658,萨尔茨卡默古特,奥地利
7635,艾克斯普罗旺斯,法国
7627,依云,法国
7570,桃园,中国
7614,宜兰,中国
7556,新明斯特,德国
7524,南投,中国
7395,利姆诺斯岛,希腊
7492,利瑟,荷兰
7505,基督城,新西兰
7504,卡昂,法国
7499,美因茨,德国
7479,米蒂利尼,希腊
10184,鲁尔蒙德,荷兰
10236,申根,卢森堡
29018,米德尔堡,美国
10173,雷姆沙伊德,德国
10141,普雷斯顿,英国
10153,皮尔默伦德,荷兰
10038,上特劳恩,奥地利
10082,帕绍,德国
9960,门兴格拉德巴赫,德国
9973,莫尔日,瑞士
9939,迈宁根,瑞士
9947,梅斯,法国
9982,米伦,瑞士
9811,克雷姆斯,奥地利
9813,克伦巴赫,奥地利
9805,康斯坦茨,德国
9787,肯普滕,德国
9788,肯德尔,英国
9857,利勒哈默尔,挪威
30203,杜伊斯堡,德国
30215,多瑙沃特,德国
30224,厄姆河畔的德廷根,德国
30229,恩根,德国
30235,法尔希特,德国
30149,达姆施塔特,德国
30163,代特莫尔德,德国
30083,布尔,德国
30146,达豪,德国
30064,博德曼路德维希港,德国
30065,博登湖畔克雷斯波洛,德国
30066,博登斯边的拉多夫采尔,德国
30073,博霍尔特,德国
30033,比绍夫斯维森,德国
29991,贝恩堡,德国
29982,包岑,德国
29944,巴特诺因阿尔-阿尔韦勒,德国
29948,巴特萨尔茨乌夫伦,德国
29954,巴特尚道,德国
29967,巴特温普芬,德国
29973,巴滕贝格,德国
29977,拜尔布伦,德国
29929,巴特克罗伊茨纳赫,德国
29892,巴特埃姆斯,德国
29925,巴特洪堡,德国
29824,奥斯纳布吕克,德国
29846,奥滕贝格,德国
29822,奥斯贝格豪森,德国
29816,奥拉宁堡,德国
29812,奥芬堡,德国
29811,奥芬巴赫,德国
29725,埃斯林根,德国
29782,奥伯豪森,德国
29783,奥伯霍夫,德国
29790,奥博茨豪森,德国
29798,奥博沃尔法赫,德国
29805,奥尔登堡,德国
29760,安贝格,德国
29761,安达赫治,德国
29776,奥巴拉马高,德国
29720,埃青,德国
29723,埃施伯恩,德国
29705,埃克拉特,德国
29668,阿斯菲尔德,德国
47402,叙尔特岛,德国
47631,阿萨斯,法国
29384,波茨坦,美国
29187,温切斯特,美国
29622,阿尔伯斯塔特,德国
29636,阿尔高内的伊门施塔特,德国
29639,阿尔特雷,德国
29688,埃尔丁,德国
29694,埃尔姆边的孔宁斯路特,德国
29697,埃尔特维勒,德国
29662,阿沙芬堡,德国
29650,阿勒斯豪森,德国
29434,斯巴达,美国
9701,海尔伦,荷兰
9716,希勒勒,丹麦
9724,翁弗勒尔,法国
9744,英戈尔施塔特,德国
9771,凯库拉,新西兰
9656,哥廷根,德国
9630,弗罗伊登施塔特,德国
9621,威廉堡,英国
9661,戈斯拉尔,德国
9685,哈尔施塔特,奥地利
9681,哈勒姆,荷兰
9545,代尔夫特,荷兰
9551,布列塔尼,法国
9521,塔斯马尼亚-摇篮山,澳大利亚
9380,贝桑松,法国
9504,茨维考,德国
9320,阿纳姆,荷兰
9343,巴特奥塞,奥地利
9364,巴约,法国
9409,布吕尔,德国
9472,捷克布杰约维采,捷克
9473,尚蒂伊,法国
9167,乌普萨拉,瑞典
9187,凡尔赛,法国
9150,特鲁瓦,法国
9163,乌尔姆,德国
9218,瓦南布尔,澳大利亚
9236,维斯马,德国
9222,魏玛,德国
