酒店名称,fishtrip_id,mddid_old,mddid_get,poiid_get,国家
慢活池上生机花园,H-oZtme9Jx4,25340,25340,6494346,台湾
兰屿青原民宿,y3mvE9Uy5gI,52237,52237,6494623,台湾
绿岛赏星阁,PvATxRo_4wo,10360,10360,6257666,台湾
绿岛翔鼎民宿,IWqZX7iXhac,10360,10360,8090023,台湾
九份缘忆民宿,V8mxIf1WgBU,23039,23039,6116543,台湾
五番坑公园堡民宿,zxJHxBfOA-4,23039,23039,6101973,台湾
安一大饭店,8Ahj2HrJEOs,11066,11066,8286281,台湾
澎湖花宅休闲民宿,2OceNn4ApVU,11066,11066,7386215,台湾
金门水头客栈一馆,ap18ntT4Jfk,25339,25339,7386356,台湾
金门夏兴客栈民宿,O1gVNso-ZCE,25339,25339,8286785,台湾
垦丁禾金丰旅店,buBayDBPUmA,21434,27771,8284245,台湾
艾比莎渡假旅店,bdQUedNIDS4,21434,27771,8088843,台湾
童年往事庄园民宿,0dE9VZTyPn4,29429,29429,6096127,台湾
鹿港二鹿行馆,4wDufdP3z4g,29429,29429,6122402,台湾
苗栗菊园民宿,Z6Ece87c80Q,25327,25327,8285092,台湾
苗栗老家民宿,bb4tOAuqGUU,25327,,,台湾
八五山泉民宿,lyXbueEwukg,58690,30849,8285145,台湾
一家三国民宿,lggeXvIR9y4,10159,30849,8283909,台湾
1967时尚私人会馆,zLEo2u1aeDY,11064,30849,8506994,台湾
台南梦想民宿,dByasDSdmnI,11064,11064,8085362,台湾
彩峰居民宿,8kLXP8hGTZo,58705,58705,8284186,台湾
草莓牛奶独栋别墅,8zPA0fElACc,25340,25340,6151536,台湾
热带低气压民宿本馆,j16GGWD9glQ,25340,25340,7896659,台湾
安兰居国际青年馆,lOgWKcI2i4A,22346,16283,7041558,台湾
阿古亚娜民宿,NPCN_JeL7hU,10044,10765,8284568,台湾
逢甲米果日租房(一馆),8GOHeFbgx1I,16405,16405,6103541,台湾
逢甲马德里日租套房,jkTXf7-d9U8,16405,16405,7379591,台湾
Luyo Hostel,OKuUQdZDsdU,11065,11065,6103575,台湾
85大楼-旅人假期,ajRhQbNvIEc,11065,11065,8283766,台湾
比拉迦民宿,1X4n5QL19nQ,15325,15325,6496404,台湾
太平洋驿站海景民宿,reKiFqX3XGI,15325,15325,5423368,台湾
宜兰筑民宿,p1QaE61Fna8,16211,10765,8284935,台湾
箱根亚曼尼民宿,iPPvqlEYqNk,16211,16211,6579026,台湾
台北HY会馆,EZ43k44szUE,10819,10819,7373462,台湾
三才灵芝农场民宿,TG0WpWXivPg,62975,10819,8088468,台湾
日月潭潭乡御民宿,2bxr928zmEU,12594,12594,6580773,台湾
台北微风商旅一馆,z0DjVbqhgrE,10819,10819,92551,台湾
台北骏宇饭店,Q5IToL9DKLE,0,10819,7006084,台湾
珠城札幌酒店,v8to099-SCo,10769,10769,69775,日本
札幌薄野站南APA酒店,HrOXuiO5CM8,10769,10769,7041139,日本
小樽山城别墅,meO35SEpvLM,19816,19816,7041110,日本
那霸WestInn,2G_KS1deSAQ,61629,11041,84117,日本
